hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
,0.0,4.0,1.0,2.0,-2.35025,0.1667,0.44,,4.0,21.289862499999998,-22.322812499999998
12.0,0.0,4.0,1.0,1.0,0.2,4.125,0.44,,3.0,49.0,37.345012499999996
13.0,0.0,4.0,1.0,1.0,0.22,0.197,7.1,0.4478,2.0,81.0,83.0
14.0,0.0,4.0,1.0,1.0,0.22,0.197,0.41,0.3881,3.0,-12.616437499999998,42.0
15.0,-11.225,4.0,-4.8999999999999995,1.0,3.31015,0.2121,0.38,0.2985,5.0,55.0,60.0
16.0,0.0,4.0,1.0,1.0,,0.2121,-4.5,0.3582,2.0,76.0,
17.0,0.0,4.0,1.0,1.0,3.31015,0.1818,0.4,0.2836,4.0,,162.0
,0.0,4.0,8.14,,0.2,0.1818,0.4,0.3284,3.0,141.0,144.0
19.0,0.0,4.0,1.0,1.0,0.16,0.1515,0.47,0.2537,1.0,98.0,99.0
20.0,0.0,4.0,1.0,1.0,0.16,0.1515,0.47,0.2239,0.0,64.0,64.0
21.0,0.0,4.0,1.0,1.0,,,0.46,0.2985,0.0,-5.7539375,37.3936875
,0.0,4.0,1.0,9.75,0.14,0.1212,0.46,0.3284,0.0,30.0,
23.0,0.0,,1.0,1.0,0.12,0.1364,0.5,0.194,1.0,14.0,15.0
12.785,,5.0,1.0,1.0,,,0.5,0.194,,14.0,14.0
1.0,0.0,5.0,1.0,1.0,,0.1212,0.54,0.1642,0.0,5.0,5.0
12.785,0.0,5.0,-4.8999999999999995,3.5,0.1,0.1212,0.54,0.1343,0.0,1.0,
3.0,,5.0,1.0,1.0,3.31015,0.1364,-4.5,0.1045,18.259999999999998,1.0,1.0
5.0,0.0,23.461875,1.0,1.0,-2.35025,4.125,0.54,,0.0,8.0,8.0
9.75,0.0,,1.0,1.0,0.1,0.1818,0.54,0.0,0.0,17.0,17.0
7.0,0.0,5.0,1.0,1.0,0.1,0.1212,0.74,0.1642,,70.0,70.0
8.0,0.0,5.0,1.0,1.0,0.12,0.1667,0.68,0.0,2.0,156.0,158.0
9.0,0.0,5.0,1.0,1.0,0.14,0.1515,0.69,0.1343,0.0,117.0,117.0
12.785,0.0,5.0,1.0,,0.18,0.1818,0.55,-10.116437499999998,4.0,40.0,
-7.9750000000000005,0.0,,1.0,1.0,,0.1667,0.51,0.2836,6.0,47.0,37.345012499999996
12.0,0.0,5.0,1.0,1.0,0.2,4.125,0.44,,2.0,59.0,61.0
13.0,0.0,,1.0,,0.22,0.197,,0.3881,18.259999999999998,-12.616437499999998,77.0
14.0,,5.0,1.0,1.0,0.22,,0.41,17.2698625,5.0,21.289862499999998,64.0
15.0,0.0,5.0,1.0,1.0,0.24,0.2424,7.1,0.1642,9.0,59.0,68.0
16.0,0.0,,,1.0,-2.35025,0.2424,-4.5,0.1045,3.0,,90.0
17.0,0.0,-14.213125000000002,1.0,-6.25,0.22,,0.41,0.1642,,155.0,159.0
18.0,0.0,5.0,1.0,1.0,3.31015,0.2576,,0.0,,134.0,139.0
,18.335,5.0,,,0.16,-2.875,0.59,0.0896,3.0,89.0,-22.241687499999998
20.0,0.0,5.0,1.0,1.0,0.18,0.2424,0.59,0.0,,68.0,68.0
21.0,-11.225,5.0,1.0,1.0,-2.35025,0.2273,0.69,17.2698625,4.0,48.0,52.0
22.0,,5.0,1.0,2.0,0.16,0.2273,0.69,0.0,,34.0,36.0
23.0,18.335,5.0,1.0,2.0,0.18,,-4.5,,1.0,26.0,27.0
-7.9750000000000005,18.335,6.0,0.0,1.0,0.18,0.2424,0.55,0.0,,25.0,28.0
1.0,0.0,6.0,,2.0,0.16,0.197,0.59,0.0896,2.0,18.0,20.0
2.0,0.0,6.0,,2.0,0.16,0.197,0.59,0.0896,0.0,12.0,37.345012499999996
3.0,-11.225,6.0,-4.8999999999999995,-2.5,,0.2273,7.1,0.0,,7.0,8.0
4.0,0.0,6.0,0.0,,0.16,0.2273,0.59,0.0,0.0,9.8523625,5.0
12.785,0.0,6.0,0.0,1.0,0.16,0.2273,0.59,0.0,0.0,1.0,1.0
12.785,0.0,6.0,8.14,1.0,0.14,0.1667,0.63,-10.116437499999998,1.0,2.0,37.345012499999996
7.0,0.0,6.0,0.0,1.0,0.14,0.2121,0.63,0.0,1.0,9.0,10.0
8.0,,6.0,0.0,1.0,0.14,0.1515,0.63,0.1343,1.0,22.0,23.0
9.0,0.0,6.0,,1.0,0.16,0.1818,0.64,0.1343,2.0,31.0,33.0
-7.9750000000000005,18.335,6.0,0.0,1.0,0.18,0.197,0.59,0.1642,18.259999999999998,57.0,59.0
-7.9750000000000005,0.0,6.0,0.0,9.75,0.2,0.197,-4.5,-7.4950625,18.0,54.0,72.0
12.0,18.335,13.8775,0.0,1.0,0.24,0.2273,,0.2239,15.0,74.0,
-7.9750000000000005,0.0,6.0,0.0,1.0,0.28,-2.875,0.38,,21.0,80.0,-22.241687499999998
-7.9750000000000005,0.0,6.0,15.568150000000001,1.0,0.3,,0.39,0.2836,26.0,92.0,118.0
15.0,0.0,6.0,-4.8999999999999995,2.0,0.32,0.3182,,0.194,,,37.345012499999996
16.0,-11.225,-8.462499999999999,0.0,2.0,0.34,0.3333,0.34,-10.116437499999998,33.0,95.0,128.0
17.0,,23.461875,0.0,2.0,,0.303,0.36,,29.0,54.0,83.0
18.0,0.0,,8.14,,0.3,4.125,,0.2537,15.0,69.0,84.0
19.0,18.335,6.0,,2.0,0.32,0.303,0.39,0.2537,18.259999999999998,60.0,74.0
20.0,0.0,-8.462499999999999,0.0,2.0,0.32,,0.39,0.2537,,,37.345012499999996
21.0,0.0,,0.0,2.0,0.32,,0.39,0.2239,6.0,51.0,57.0
,18.335,6.0,0.0,2.0,0.3,0.3182,0.42,0.1045,0.0,26.0,
23.0,0.0,6.0,,1.0,0.3,,0.45,0.2836,18.259999999999998,39.0,-22.241687499999998
0.0,,0.0,0.0,1.0,,0.303,0.56,0.0,6.0,33.0,
1.0,0.0,0.0,0.0,1.0,0.26,0.2727,0.56,0.1343,4.0,19.0,23.0
2.0,0.0,0.0,-4.8999999999999995,1.0,0.26,0.2879,0.56,-10.116437499999998,3.0,,-22.322812499999998
3.0,,0.0,0.0,1.0,0.22,0.2727,0.69,0.0,18.259999999999998,6.0,15.0
4.0,,-8.462499999999999,,,0.26,0.2576,0.56,0.1642,,1.0,1.0
,-11.225,0.0,0.0,-2.5,3.31015,0.2576,0.56,0.1642,1.0,1.0,2.0
6.0,-11.225,0.0,0.0,2.0,0.26,-2.875,0.56,0.1642,0.0,1.0,1.0
7.0,0.0,0.0,0.0,2.0,3.31015,0.2121,,0.2985,,3.0,3.0
8.0,0.0,0.0,0.0,1.0,0.22,0.2121,0.55,0.2836,0.0,18.0,18.0
-6.25,0.0,0.0,0.0,1.0,0.22,-2.875,0.51,17.2698625,3.0,,32.0
10.0,0.0,,0.0,1.0,,0.2121,-4.5,0.2836,8.0,71.0,79.0
11.0,18.335,0.0,,1.0,0.24,0.2273,0.44,0.2537,23.0,,-22.241687499999998
12.0,-11.225,0.0,,1.0,0.24,0.2121,0.41,,29.0,75.0,104.0
13.0,,0.0,,,0.26,,0.35,,23.0,95.0,118.0
9.75,0.0,0.0,0.0,,-2.35025,,0.36,,22.0,69.0,
,0.0,,0.0,-6.25,0.26,0.2424,0.38,0.2537,35.0,78.0,113.0
,0.0,,0.0,1.0,-2.35025,,7.1,0.2239,22.0,,37.3936875
17.0,0.0,,0.0,1.0,3.31015,0.2121,0.37,0.2537,23.0,82.0,105.0
18.0,-11.225,0.0,0.0,1.0,0.2,4.125,0.4,0.1642,,56.0,67.0
19.0,0.0,0.0,-4.8999999999999995,-6.25,0.18,0.197,0.47,0.1343,,47.0,
-7.9750000000000005,0.0,-13.976812500000001,-4.8999999999999995,,0.18,0.197,0.47,0.1642,7.0,-12.616437499999998,57.0
21.0,0.0,0.0,0.0,-6.25,0.18,,0.51,17.2698625,,22.0,-22.241687499999998
22.0,0.0,,-9.28025,2.0,,0.2121,0.49,0.1343,2.0,,21.0
23.0,0.0,0.0,0.0,2.0,3.31015,0.2273,0.4,,0.0,18.0,18.0
0.0,1.0,23.461875,0.0,9.75,0.2,0.197,7.1,0.2239,1.0,16.0,
1.0,,1.0,0.0,2.0,0.2,0.197,0.44,0.194,18.259999999999998,15.0,-22.322812499999998
2.0,,1.0,0.0,2.0,0.18,0.1667,0.43,0.2537,0.0,8.0,8.0
3.0,1.0,1.0,-9.28025,2.0,0.18,0.1818,0.43,0.194,,2.0,2.0
12.785,1.0,1.0,-4.8999999999999995,2.0,0.18,0.197,0.43,0.1343,1.0,2.0,
5.0,1.0,,0.0,2.0,,0.197,0.43,0.1642,0.0,1.0,1.0
6.0,1.0,13.8775,0.0,2.0,3.31015,,0.43,,0.0,5.0,-22.241687499999998
9.75,1.0,-14.213125000000002,0.0,2.0,0.16,0.1818,0.5,0.1343,,9.0,13.0
8.0,1.0,,0.0,2.0,0.16,0.1515,,-10.116437499999998,,30.0,-22.241687499999998
9.0,1.0,,,9.75,0.16,,0.47,0.2239,8.0,39.0,47.0
,1.0,1.0,0.0,2.0,0.16,0.1515,,-10.116437499999998,7.0,,37.3936875
12.785,1.0,1.0,0.0,2.0,0.16,,0.55,0.194,9.0,55.0,37.3936875
,,1.0,0.0,2.0,,0.197,0.47,0.1343,10.0,-5.7539375,80.0
13.0,,1.0,0.0,2.0,0.18,0.197,0.47,0.1343,13.0,80.0,93.0
14.0,1.0,1.0,,2.0,0.18,0.2121,0.43,,18.259999999999998,,86.0
15.0,18.335,-8.462499999999999,15.568150000000001,2.0,,0.2121,-4.5,,21.0,9.8523625,93.0
16.0,1.0,1.0,0.0,2.0,0.2,0.2121,0.47,0.1642,6.0,76.0,-22.241687499999998
17.0,1.0,1.0,0.0,1.0,0.2,0.197,,0.194,,67.0,71.0
18.0,1.0,-8.462499999999999,0.0,-6.25,0.18,0.1667,0.55,12.497037500000001,-10.664375,,92.0
19.0,1.0,1.0,0.0,,3.31015,-2.875,7.1,,2.0,-5.7539375,60.0
20.0,18.335,1.0,0.0,,0.16,0.1515,0.8,,4.0,29.0,37.345012499999996
21.0,1.0,1.0,0.0,3.0,0.16,,0.8,0.194,,24.0,27.0
22.0,1.0,,0.0,3.0,0.14,4.125,0.93,0.2537,-11.1,21.289862499999998,13.0
-7.9750000000000005,1.0,1.0,0.0,3.0,0.16,,,0.2836,1.0,,4.0
12.0,0.0,,-4.8999999999999995,2.0,0.2,,0.86,0.3284,0.0,,3.0
13.0,0.0,13.8775,1.0,2.0,0.2,0.197,,0.2239,-11.1,22.0,22.0
-7.9750000000000005,-11.225,2.0,1.0,-2.5,3.31015,0.2273,0.8,0.1642,2.0,26.0,
15.0,0.0,2.0,8.14,2.0,0.22,0.2273,0.87,0.1642,3.0,32.0,35.0
16.0,0.0,2.0,1.0,2.0,0.22,0.2273,,0.194,0.0,21.289862499999998,
17.0,,2.0,1.0,2.0,3.31015,0.2273,0.82,0.194,1.0,124.0,125.0
18.0,0.0,2.0,1.0,2.0,,0.2273,0.8,0.1642,1.0,,
,0.0,13.8775,1.0,2.0,-2.35025,,0.8,0.1343,1.0,98.0,99.0
12.785,0.0,2.0,1.0,2.0,0.22,0.2727,0.87,0.0,0.0,83.0,83.0
21.0,0.0,2.0,-9.28025,2.0,0.22,0.2424,0.93,-10.116437499999998,18.259999999999998,,
22.0,0.0,,1.0,2.0,,0.2576,7.1,-10.116437499999998,0.0,33.0,33.0
,0.0,2.0,1.0,2.0,,0.2727,0.93,0.0,1.0,19.0,20.0
12.785,,3.0,1.0,2.0,0.22,0.2727,0.93,0.0,0.0,,3.0
1.0,,3.0,1.0,3.0,,0.2273,0.93,17.2698625,1.0,,7.0
2.0,0.0,3.0,-9.28025,3.0,0.22,0.2273,0.93,0.1343,,3.0,3.0
-7.9750000000000005,0.0,3.0,1.0,3.0,0.22,0.2273,0.93,0.1343,1.0,1.0,2.0
5.0,-11.225,3.0,1.0,2.0,0.22,0.2576,0.93,0.0896,0.0,7.0,7.0
6.0,0.0,3.0,-4.8999999999999995,2.0,0.22,4.125,0.93,0.0896,,32.0,32.0
7.0,0.0,3.0,1.0,2.0,0.24,0.2576,0.92,0.1045,1.0,89.0,90.0
-7.9750000000000005,-11.225,3.0,1.0,2.0,0.24,4.125,-4.5,,1.0,196.0,197.0
,0.0,3.0,1.0,2.0,,0.2576,0.93,17.2698625,2.0,107.0,109.0
10.0,0.0,13.8775,1.0,2.0,3.31015,4.125,0.93,0.1343,1.0,46.0,47.0
,0.0,3.0,,2.0,3.31015,0.303,0.87,0.0896,5.0,47.0,-22.322812499999998
12.0,0.0,,1.0,2.0,,0.3182,0.81,0.0896,-10.664375,65.0,70.0
13.0,0.0,,1.0,1.0,-2.35025,0.4091,0.62,0.2836,,67.0,37.3936875
14.0,0.0,3.0,1.0,1.0,0.4,0.4091,0.58,-10.116437499999998,7.0,68.0,75.0
15.0,0.0,-14.213125000000002,1.0,1.0,0.4,0.4091,,0.2836,4.0,78.0,82.0
16.0,0.0,3.0,1.0,1.0,0.38,0.3939,0.58,0.3881,10.0,,104.0
17.0,0.0,3.0,-9.28025,1.0,0.36,0.3333,,,,21.289862499999998,197.0
18.0,0.0,3.0,,1.0,0.34,0.3182,0.61,0.2836,5.0,-12.616437499999998,161.0
19.0,18.335,3.0,1.0,1.0,0.32,0.2879,,17.2698625,4.0,108.0,112.0
20.0,0.0,3.0,1.0,1.0,0.32,0.303,0.49,0.2985,2.0,,
21.0,0.0,3.0,8.14,1.0,0.32,0.2879,7.1,-10.116437499999998,4.0,55.0,59.0
12.785,0.0,3.0,1.0,,0.3,0.303,0.52,,6.0,,59.0
23.0,0.0,3.0,1.0,1.0,0.3,0.2727,7.1,0.4627,-11.1,27.0,28.0
0.0,0.0,4.0,1.0,1.0,-2.35025,,7.1,0.3881,5.0,8.0,13.0
1.0,0.0,4.0,,1.0,0.26,0.2727,,0.0,2.0,3.0,
2.0,0.0,4.0,1.0,1.0,0.26,0.2727,0.56,0.0,0.0,2.0,2.0
3.0,0.0,4.0,15.568150000000001,1.0,,0.2576,0.56,0.1642,0.0,1.0,-22.322812499999998
,0.0,4.0,-9.28025,1.0,0.26,0.2576,0.56,,0.0,1.0,1.0
5.0,,4.0,1.0,1.0,0.24,0.2273,0.6,0.2239,,6.0,6.0
6.0,0.0,4.0,-4.8999999999999995,1.0,,-4.0,0.6,0.2239,0.0,-12.616437499999998,35.0
7.0,0.0,,1.0,1.0,-2.35025,0.2121,0.55,0.2239,1.0,9.8523625,101.0
8.0,0.0,-8.462499999999999,-4.8999999999999995,-6.25,0.22,0.2121,0.55,-10.116437499999998,2.0,247.0,249.0
12.785,0.0,4.0,1.0,2.0,,0.2273,0.52,0.2239,3.0,140.0,
-7.9750000000000005,0.0,-13.976812500000001,,1.0,0.26,0.2273,,0.2985,1.0,56.0,57.0
,0.0,4.0,1.0,2.0,0.28,0.2727,0.45,0.1642,,63.0,68.0
12.0,0.0,23.3200875,1.0,2.0,0.3,0.3333,7.1,0.0,7.0,77.0,37.345012499999996
13.0,0.0,4.0,1.0,2.0,0.28,0.2879,0.45,0.1045,12.0,86.0,98.0
14.0,-11.225,4.0,1.0,2.0,0.3,,0.45,0.1343,,75.0,81.0
15.0,0.0,4.0,1.0,-6.25,0.32,0.3182,0.45,0.194,8.0,62.0,37.3936875
,0.0,-8.462499999999999,,2.0,0.3,0.303,0.49,0.1343,8.0,83.0,37.345012499999996
17.0,0.0,4.0,1.0,2.0,0.3,0.3182,0.49,0.1045,8.0,207.0,215.0
18.0,0.0,4.0,,2.0,0.26,4.125,0.56,0.194,,184.0,
19.0,-11.225,4.0,1.0,1.0,0.26,0.2273,,0.3284,6.0,146.0,
20.0,0.0,4.0,1.0,2.0,,0.2424,0.6,0.2836,,-12.616437499999998,126.0
,18.335,4.0,1.0,2.0,0.24,0.2273,0.6,0.2537,3.0,54.0,57.0
22.0,,4.0,1.0,9.75,-2.35025,-2.875,0.65,0.2836,0.0,56.0,-22.241687499999998
-7.9750000000000005,0.0,4.0,1.0,2.0,0.24,0.2121,-4.5,0.3284,3.0,9.8523625,
0.0,0.0,5.0,1.0,2.0,0.24,-2.875,0.7,0.2537,18.259999999999998,20.0,21.0
,0.0,5.0,1.0,-6.25,0.24,0.2273,0.7,0.2537,0.0,6.0,6.0
2.0,0.0,5.0,1.0,3.0,,,0.75,0.1642,0.0,2.0,2.0
3.0,0.0,5.0,1.0,3.0,,-2.875,,0.2985,0.0,1.0,1.0
4.0,0.0,,1.0,-6.25,-2.35025,0.2576,0.87,,0.0,-5.7539375,1.0
,-11.225,23.3200875,-9.28025,,0.24,,0.6,-10.116437499999998,1.0,-12.616437499999998,
,0.0,5.0,1.0,1.0,0.22,,0.55,12.497037500000001,0.0,27.0,27.0
,,5.0,-9.28025,1.0,0.2,,,0.2836,2.0,66.0,
8.0,,5.0,1.0,1.0,0.2,0.1818,0.47,12.497037500000001,,210.0,37.3936875
,0.0,5.0,1.0,,0.2,0.1818,0.51,0.3582,7.0,159.0,166.0
10.0,0.0,5.0,1.0,1.0,3.036,4.125,,,6.0,57.0,63.0
-7.9750000000000005,0.0,5.0,1.0,9.75,0.22,0.1818,0.41,-10.116437499999998,6.0,53.0,59.0
12.0,0.0,-8.462499999999999,1.0,1.0,0.22,0.1818,0.27,0.5821,11.0,67.0,78.0
-6.25,0.0,13.8775,1.0,1.0,0.2,0.1515,0.21,0.5821,8.0,65.0,
,0.0,5.0,,,0.2,0.1515,0.25,0.5224,6.0,,62.0
15.0,0.0,5.0,,1.0,0.16,,0.26,0.4478,4.0,9.8523625,65.0
16.0,0.0,,1.0,1.0,3.31015,-2.875,0.26,0.3582,0.0,97.0,
17.0,,5.0,,1.0,0.14,0.1212,-4.5,0.3582,10.0,,37.345012499999996
,-11.225,5.0,1.0,1.0,0.12,0.1212,0.3,0.2537,18.259999999999998,21.289862499999998,120.0
19.0,0.0,5.0,1.0,3.5,0.12,0.1061,-4.5,0.3284,3.0,93.0,96.0
20.0,0.0,5.0,,1.0,0.1,,0.33,0.4179,1.0,52.0,53.0
21.0,0.0,5.0,1.0,1.0,0.08,-2.875,0.38,0.2836,0.0,41.0,41.0
,0.0,5.0,1.0,1.0,0.06,,0.41,0.3881,1.0,,-22.241687499999998
-7.9750000000000005,18.335,5.0,1.0,1.0,0.06,0.0455,0.38,0.3284,0.0,27.0,27.0
12.785,0.0,,0.0,1.0,0.04,0.0303,0.45,0.2537,0.0,13.0,13.0
,0.0,6.0,0.0,2.0,0.04,4.125,0.41,0.3881,3.0,9.0,12.0
2.0,0.0,,0.0,2.0,0.04,0.0303,0.41,,0.0,11.0,11.0
3.0,0.0,6.0,0.0,2.0,0.04,,0.41,,1.0,6.0,
-7.9750000000000005,,6.0,0.0,2.0,0.02,0.0152,0.48,0.2985,0.0,3.0,
6.0,,6.0,0.0,2.0,,,0.44,0.2239,0.0,-12.616437499999998,2.0
7.0,-11.225,6.0,0.0,1.0,0.02,0.0152,0.44,0.2836,,8.0,8.0
8.0,0.0,6.0,0.0,1.0,0.02,0.0,0.44,,-11.1,,-22.322812499999998
9.0,0.0,6.0,0.0,1.0,0.04,0.0303,0.41,,3.0,37.0,40.0
10.0,0.0,6.0,0.0,2.0,0.04,0.0606,0.41,-10.116437499999998,-11.1,50.0,53.0
,18.335,6.0,0.0,9.75,,0.0758,0.38,17.2698625,4.0,59.0,63.0
12.0,0.0,6.0,8.14,,0.06,-4.0,0.38,0.1045,-11.1,,37.345012499999996
,0.0,6.0,0.0,1.0,3.31015,,,0.0,-10.664375,72.0,84.0
14.0,0.0,,,1.0,-2.35025,,,,11.0,64.0,75.0
15.0,0.0,6.0,0.0,1.0,0.12,0.1515,0.28,17.2698625,-11.1,93.0,
16.0,0.0,6.0,0.0,1.0,0.12,0.1364,0.28,0.194,,9.8523625,83.0
,0.0,6.0,8.14,1.0,0.12,0.197,7.1,,8.0,,67.0
18.0,0.0,,0.0,1.0,0.08,,-4.5,0.194,0.0,,54.0
19.0,0.0,6.0,0.0,1.0,0.08,,0.35,0.1343,18.259999999999998,,59.0
20.0,0.0,6.0,8.14,1.0,0.06,-2.875,0.45,0.1642,-10.0,44.0,45.0
21.0,0.0,6.0,0.0,1.0,0.06,,0.41,0.0896,0.0,39.0,39.0
22.0,0.0,-8.462499999999999,,1.0,-2.35025,-2.875,0.49,0.0,,23.0,30.0
-7.9750000000000005,18.335,6.0,0.0,-6.25,-2.35025,4.125,0.57,0.1045,18.259999999999998,31.0,33.0
0.0,0.0,0.0,8.14,1.0,0.04,-2.875,0.57,0.1045,2.0,20.0,22.0
1.0,0.0,0.0,0.0,1.0,-2.35025,0.0758,7.1,0.1045,1.0,12.0,13.0
2.0,0.0,0.0,,,,0.0606,-4.5,0.1343,-11.1,15.0,18.0
-7.9750000000000005,0.0,0.0,15.568150000000001,1.0,0.02,-2.875,0.62,0.1343,1.0,4.0,-22.322812499999998
,,0.0,0.0,9.75,0.04,0.0758,,0.1045,0.0,-12.616437499999998,3.0
6.0,0.0,,15.568150000000001,2.0,0.04,,,,0.0,1.0,1.0
7.0,-11.225,0.0,0.0,,0.08,0.1061,0.58,-7.4950625,1.0,1.0,2.0
8.0,0.0,0.0,0.0,1.0,0.06,0.0758,0.62,0.1642,,17.0,19.0
9.0,0.0,0.0,-4.8999999999999995,1.0,0.1,,0.54,0.3582,,25.0,28.0
10.0,0.0,0.0,0.0,9.75,3.31015,0.1061,0.46,0.3881,7.0,51.0,58.0
,0.0,,0.0,1.0,0.14,6.0,,-10.116437499999998,22.0,77.0,-22.322812499999998
12.0,-11.225,0.0,0.0,1.0,0.16,0.1212,0.37,,-10.0,-12.616437499999998,116.0
12.785,0.0,0.0,15.568150000000001,1.0,0.14,0.1061,0.33,0.3881,12.0,75.0,87.0
-7.9750000000000005,0.0,-14.213125000000002,0.0,1.0,0.16,,,0.3582,,93.0,110.0
-7.9750000000000005,-11.225,0.0,0.0,-6.25,0.16,0.1364,0.28,-7.4950625,17.998625,64.0,
16.0,0.0,0.0,0.0,1.0,0.16,-2.875,0.26,,9.0,56.0,65.0
17.0,,,0.0,-6.25,0.14,4.125,0.26,,18.259999999999998,50.0,55.0
18.0,0.0,-8.462499999999999,0.0,1.0,3.31015,0.1212,0.3,0.2537,5.0,44.0,49.0
12.785,0.0,0.0,0.0,,0.12,0.1212,0.3,0.2836,5.0,45.0,50.0
20.0,0.0,0.0,0.0,1.0,,6.0,0.36,0.2537,4.0,31.0,-22.322812499999998
,0.0,0.0,0.0,1.0,0.1,0.1061,0.36,,5.0,20.0,37.3936875
22.0,0.0,0.0,0.0,1.0,0.08,0.0909,0.38,0.194,-11.1,23.0,37.345012499999996
23.0,0.0,0.0,0.0,1.0,0.06,0.0606,0.41,0.2239,4.0,17.0,21.0
0.0,0.0,1.0,,1.0,0.06,0.0606,0.41,0.194,0.0,7.0,7.0
1.0,0.0,1.0,1.0,1.0,0.04,0.0455,0.45,0.194,0.0,,37.345012499999996
3.0,0.0,1.0,1.0,1.0,3.31015,0.0303,7.1,0.2537,17.998625,1.0,
4.0,0.0,1.0,1.0,1.0,,4.125,0.48,0.1343,0.0,1.0,-22.322812499999998
,0.0,1.0,1.0,1.0,3.31015,0.0606,0.48,0.1343,0.0,5.0,
6.0,0.0,1.0,1.0,1.0,0.02,0.0758,0.48,0.0896,0.0,15.0,-22.322812499999998
,0.0,1.0,1.0,9.75,0.02,-4.0,7.1,0.0,,79.0,84.0
8.0,-11.225,,1.0,9.75,0.04,0.1364,,0.0,-11.1,171.0,177.0
9.0,0.0,13.8775,1.0,1.0,0.06,0.1515,0.41,,4.0,98.0,102.0
10.0,,1.0,1.0,1.0,0.1,0.1364,0.42,0.0,6.0,34.0,40.0
11.0,18.335,1.0,1.0,1.0,0.1,0.1212,0.46,,3.0,43.0,46.0
12.0,0.0,,1.0,2.0,3.31015,0.1364,,0.194,11.0,21.289862499999998,63.0
13.0,0.0,1.0,1.0,2.0,0.14,0.1364,7.1,0.2239,6.0,54.0,60.0
14.0,0.0,1.0,1.0,2.0,0.14,0.1364,0.46,12.497037500000001,2.0,,45.0
15.0,0.0,1.0,1.0,1.0,0.16,0.1667,0.4,0.1642,7.0,50.0,57.0
-7.9750000000000005,0.0,1.0,-9.28025,1.0,0.16,0.1515,0.47,,4.0,,70.0
17.0,,1.0,,1.0,0.14,,0.5,0.2537,6.0,178.0,184.0
18.0,0.0,1.0,1.0,1.0,,0.1364,0.59,0.194,,145.0,
19.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.54,,5.0,-12.616437499999998,106.0
20.0,0.0,1.0,-4.8999999999999995,1.0,0.14,0.1364,0.59,-10.116437499999998,,80.0,81.0
21.0,18.335,1.0,1.0,1.0,,0.1515,0.63,0.1642,6.0,53.0,59.0
22.0,0.0,1.0,1.0,2.0,0.14,0.1364,0.63,-10.116437499999998,3.0,32.0,35.0
23.0,0.0,1.0,1.0,3.5,0.16,0.1515,7.1,0.2537,3.0,21.0,24.0
0.0,,,1.0,,0.16,0.1364,0.69,0.2836,3.0,-12.616437499999998,9.0
1.0,0.0,2.0,15.568150000000001,2.0,3.31015,0.1667,0.69,0.1642,0.0,5.0,5.0
2.0,18.335,2.0,8.14,1.0,-2.35025,0.1515,0.69,,0.0,2.0,2.0
4.0,0.0,,1.0,1.0,3.31015,0.1667,0.74,0.1045,0.0,21.289862499999998,1.0
5.0,0.0,2.0,1.0,1.0,3.036,0.1364,0.74,17.2698625,0.0,9.0,9.0
12.785,0.0,2.0,1.0,1.0,0.16,0.1818,0.74,0.1045,1.0,35.0,36.0
7.0,0.0,2.0,-4.8999999999999995,1.0,,-4.0,0.74,0.2239,5.0,103.0,-22.322812499999998
8.0,0.0,13.8775,1.0,-6.25,0.16,0.1818,0.74,0.1343,18.259999999999998,233.0,238.0
9.0,0.0,13.8775,1.0,2.0,,0.2273,0.64,0.0896,-11.1,134.0,37.345012499999996
10.0,0.0,13.8775,1.0,2.0,-2.35025,0.2424,0.6,0.1045,6.0,49.0,55.0
-7.9750000000000005,0.0,2.0,,2.0,0.24,0.2424,0.6,,6.0,55.0,
-7.9750000000000005,0.0,-8.462499999999999,1.0,,0.26,,0.56,0.0896,18.259999999999998,21.289862499999998,106.0
13.0,0.0,2.0,1.0,,,,0.56,,21.0,,93.0
-7.9750000000000005,0.0,2.0,1.0,2.0,0.3,0.3333,,17.2698625,11.0,-5.7539375,68.0
15.0,,2.0,,2.0,0.32,0.3485,,-10.116437499999998,21.0,63.0,84.0
16.0,0.0,2.0,-9.28025,2.0,3.31015,,0.42,0.0,14.0,102.0,116.0
17.0,0.0,2.0,1.0,1.0,0.3,0.3333,,0.0,14.0,21.289862499999998,222.0
18.0,18.335,-8.462499999999999,1.0,2.0,0.3,0.3182,0.49,0.0896,7.0,21.289862499999998,225.0
19.0,0.0,2.0,,2.0,0.26,0.2576,0.65,0.1642,13.0,-5.7539375,
12.785,0.0,2.0,-4.8999999999999995,1.0,0.24,0.2273,0.65,0.194,16.0,9.8523625,37.3936875
,0.0,-8.462499999999999,1.0,1.0,0.24,,0.65,-10.116437499999998,5.0,40.0,45.0
22.0,0.0,2.0,1.0,-2.5,0.22,0.2273,0.64,0.1642,4.0,-5.7539375,37.345012499999996
23.0,0.0,2.0,1.0,2.0,,0.2273,0.64,0.1642,18.259999999999998,37.0,40.0
0.0,,3.0,1.0,2.0,0.22,,0.69,0.1343,-11.1,,17.0
1.0,0.0,3.0,1.0,2.0,0.24,4.125,0.65,12.497037500000001,0.0,5.0,-22.322812499999998
-6.25,0.0,3.0,1.0,3.0,-2.35025,0.2273,0.69,0.194,3.0,,10.0
